,year,recip,item,giver,reason
0,2020,"The Honorable H.R. McMaster, Assistant to the President and National Security Advisor","
                            Afghan Carpet. Rec'd—Unknown. Est. Value—$980.00. Disposition—Transferred to GSA.
                            2
","His Excellency Tariq Bahrami, Acting Minister of Defense of the Islamic Republic of Afghanistan",Non-acceptance would cause embarrassment to donor and U.S. Government.
1,2020,"The Honorable H.R. McMaster, Assistant to the President and National Security Advisor","
                            Carpet Rec'd—Unknown. Est. Value—$6,400.00. Disposition—Transferred to GSA.
                            3
","His Excellency Shavkat Mirziyoyev, President of the Republic of Uzbekistan",Non-acceptance would cause embarrassment to donor and U.S. Government.
2,2020,"The Honorable H.R. McMaster, Assistant to the President and National Security Advisor","
                            Cologne Collection. Rec'd—Unknown. Est. Value—$2,485.00. Disposition—Transferred to GSA.
                            4
","Mr. Sayyid Munthi, Director, Omani Royal Liaison Coordination Service, Sultanate of Oman",Non-acceptance would cause embarrassment to donor and U.S. Government.
3,2020,"The Honorable Jared Kushner, Assistant to the President and Senior Advisor","
                            Orange Robe. Rec'd—Unknown. Est. Value—$1,900.00. Disposition—Transferred to GSA.
                            5
","His Royal Highness Mohammad bin Salman, Deputy Crown Prince and Second Deputy Prime Minister of the Kingdom of Saudi Arabia",Non-acceptance would cause embarrassment to donor and U.S. Government.
4,2020,"The Honorable Michael R. Pompeo, Secretary of State",Painting featuring Apples. Rec'd—6/25/2018. Est. Value—$1060.00. Disposition—Transferred to GSA.,"His Excellency Filip Pavel, Prime Minister of the Republic of Moldova",Non-acceptance would cause embarrassment to donor and U.S. Government.
5,2020,"The Honorable Michael R. Pompeo, Secretary of State",Solar Boat Replica. Rec'd—1/10/2019. Est. Value—$445.00 Disposition—Transferred to GSA.,"His Excellency Abbas Kamel, Director of the General Intelligence Service of the Arab Republic of Egypt",Non-acceptance would cause embarrassment to donor and U.S. Government.
6,2020,"The Honorable Michael R. Pompeo, Secretary of State","Animal Theme Carpet. Rec'd—11/22/2019. Est. Value—$6,000.00. Disposition—Transferred to GSA.","His Highness Sheikh Abdullah bin Zayed Al Nahyan, Minister of Foreign Affairs and International Cooperation of the United Arab Emirates",Non-acceptance would cause embarrassment to donor and U.S. Government.
7,2020,"The Honorable Michael R. Pompeo, Secretary of State","Wool Carpet. Rec'd—7/19/2020. Est. Value—$2,700.00. Disposition—Transferred to GSA.","His Excellency Mohammad Ashraf Ghani, President of the Islamic Republic of Afghanistan",Non-acceptance would cause embarrassment to donor and U.S. Government.
8,2020,"The Honorable Michael R. Pompeo, Secretary of State","Pilsner Scarf, Stein, and Framed Antique Map of Bohemia. Rec'd—8/11/2020. Est. Value—$455.00. Disposition—Purchased.","His Excellency Tomas Petricek, Minister of Foreign Affairs of the Czech Republic",Non-acceptance would cause embarrassment to donor and U.S. Government.
9,2020,"The Honorable Michael R. Pompeo, Secretary of State",Framed Painting Featuring a House. Rec'd 9/17/2020. Est. Value—$490.00. Disposition—Transferred to GSA.,"His Excellency Mohamed Irfaan Ali, President of the Co-operative Republic of Guyana",Non-acceptance would cause embarrassment to donor and U.S. Government.
10,2020,"The Honorable Michael R. Pompeo, Secretary of State",Carved Wooden Chair. Rec'd—9/18/2020. Est. Value—$450.00. Disposition—Transferred to GSA.,"His Excellency Albert Ramchand Ramdin, Minister of Foreign Affairs of the Republic of Suriname",Non-acceptance would cause embarrassment to donor and U.S. Government.
11,2020,"The Honorable Michael R. Pompeo, Secretary of State","Japanese Crystal Shot Glasses, Waterman Pen, and Challenge Coin. $470.00. Rec'd—9/24/2020. Disposition—Purchased.","His Excellency Shigeru Kitamura, Secretary General of the National Security Secretariat of Japan",Non-acceptance would cause embarrassment to donor and U.S. Government.
12,2020,"The Honorable Michael R. Pompeo, Secretary of State","Odessa Cobalt Gold Dish Set. Rec'd—10/26/2020. Est. Value—$2,200.00. Disposition—Transferred to GSA.","His Excellency Gotabaya Rajapaksa, President of the Democratic Socialist Republic of Sri Lanka",Non-acceptance would cause embarrassment to donor and U.S. Government.
13,2020,"The Honorable Michael R. Pompeo, Secretary of State","Hand-carved Wooden Maldivian Boat Model. Rec'd—10/28/2020. Est. Value—$1,100.00. Disposition—Transferred to GSA.","His Excellency Abdulla Shahid, Minister of Foreign Affairs of the Republic of Maldives",Non-acceptance would cause embarrassment to donor and U.S. Government.
14,2020,"The Honorable Michael R. Pompeo, Secretary of State",Painting Featuring Water's Edge. Rec'd—10/30/2020. Est. Value—$600.00. Disposition—Transferred to GSA.,"His Excellency To Lam, Minister of Public Security of the Socialist Republic of Vietnam",Non-acceptance would cause embarrassment to donor and U.S. Government.
15,2020,"The Honorable Michael R. Pompeo, Secretary of State",Brass Tray and Family Photo of the Jordanian Royal Family. Rec'd—December 2020. Est. Value—$955.00. Disposition—Transferred to GSA.,"His Majesty Abdullah II ibn Al Hussein, King of the Hashemite Kingdom of Jordan",Non-acceptance would cause embarrassment to donor and U.S. Government.
16,2020,"The Honorable Michael R. Pompeo, Secretary of State",Sword in Case. Rec'd—Unknown. Est. Value—$490.00. Disposition—Transferred to GSA.,"
                            Unknown 
                            7
                            .
                        ",Non-acceptance would cause embarrassment to donor and U.S. Government.
17,2020,"The Honorable John Sullivan, Deputy Secretary of State",Framed Embroidery of Eagles. Rec'd—10/4/2017. Est. Value—$600.00. Disposition—Transferred to GSA.,"His Excellency Guo Shengkun, State Councilor of the People's Republic of China",Non-acceptance would cause embarrassment to donor and U.S. Government.
18,2020,"The Honorable Craig Allen, Ambassador of the United States to Brunei Darussalam","Watch with Roman Numerals. Rec'd—10/12/2018. Est. Value—$2,400.00. Disposition—Transferred to GSA.","His Majesty Sultan Haji Hassanal Bolkiah Mu'izzaddin Waddaulah, Sultan and Yang Di-Pertuan of Brunei Darussalam",Non-acceptance would cause embarrassment to donor and U.S. Government.
19,2020,"Ms. Micheline Tusenius, Spouse of the Ambassador of the United States to Brunei Darussalam","White Gold and Diamond Floral Bracelet. Rec'd—10/12/2018. Est. Value—$2,400.00. Disposition—Transferred to GSA.",Her Majesty Duli Raja Isteri Pengiran Anak Hajah Saleha binti Al-Marhum Pengiran Pemancha Pengiran Anak Haji Mohamed,Non-acceptance would cause embarrassment to donor and U.S. Government.
20,2020,"Ms. Micheline Tusenius, Spouse of the Ambassador of the United States to Brunei Darussalam","White Gold and Diamond Bracelet with Flowers. Rec'd—10/12/2018. Est. Value—$3,200.00. Disposition—Transferred to GSA.",Her Majesty Duli Raja Isteri Pengiran Anak Hajah Saleha binti Al-Marhum Pengiran Pemancha Pengiran Anak Haji Mohamed,Non-acceptance would cause embarrassment to donor and U.S. Government.
21,2020,"The Honorable Barbara Leaf, Ambassador of the United States to the United Arab Emirates",Leather Portfolio. Rec'd—9/25/2016. Est. Value—$800.00. Disposition—Transferred to GSA.,"His Excellency Anwar Gargash, Minister of State for Foreign Affairs of the United Arab Emirates",Non-acceptance would cause embarrassment to donor and U.S. Government.
22,2020,"The Honorable Barbara Leaf, Ambassador of the United States to the United Arab Emirates",Pearl Necklace. Rec'd—03/18/2018. Est. Value—$600.00. Disposition—Transferred to GSA.,"His Highness Sheikh Dr. Sultan bin Muhammad Al Qasimi, Ruler of the Emirate of Sharjah, United Arab Emirates",Non-acceptance would cause embarrassment to donor and U.S. Government.
23,2020,"The Honorable Barbara Leaf, Ambassador of the United States to the United Arab Emirates","Falcon Hood. Rec'd—3/18/2018. Est. Value—$1,100.00. Disposition—Transferred to GSA.","National Falcon Club, Ministry of Sports and Leisure of the United Arab Emirates",Non-acceptance would cause embarrassment to donor and U.S. Government.
24,2020,"The Honorable Barbara Leaf, Ambassador of the United States to the United Arab Emirates","White Gold and Turquoise Pendant. Rec'd—3/22/2018. Est. Value—$11,500.00. Disposition—Transferred to GSA.",Government of the United Arab Emirates,Non-acceptance would cause embarrassment to donor and U.S. Government.
25,2020,"The Honorable Michael Corbin, Ambassador of the United States to the United Arab Emirates","Louis Erard Watch and Baume and Mercier Watch. Rec'd—1/1/2014. Est. Value—$11,550.00. Disposition—Transferred to GSA.","
                            Unknown 
                            8
",Non-acceptance would cause embarrassment to donor and U.S. Government.
26,2020,"The Honorable Stuart Jones, Ambassador of the United States to the Republic of Iraq","Omega Watch. Rec'd—2016. Est. Value—$5,560.00. Disposition—Transferred to GSA.",Government of the Republic of Iraq,Non-acceptance would cause embarrassment to donor and U.S. Government.
27,2020,"The Honorable Sean Lawler, Chief of Protocol",Brass Footed Bowl. Rec'd—1/16/2018. Rec'd—$420.00. Disposition—Transferred to GSA.,"His Excellency Nursultan Nazarbayev, President of the Republic of Kazakhstan",Non-acceptance would cause embarrassment to donor and U.S. Government.
28,2020,"The Honorable Sean Lawler, Chief of Protocol","Framed Art with Wooden Carved Colorful Frame. Rec'd—5/16/2018. Est. Value—$1,200.00. Disposition—Transferred to GSA.","His Excellency Shavkat Mirziyoyev, President of the Republic of Uzbekistan",Non-acceptance would cause embarrassment to donor and U.S. Government.
29,2020,"The Honorable Sean Lawler, Chief of Protocol","Silk Carpet. Rec'd—5/16/2018 Est. Value—$1,900.00. Disposition—Transferred to GSA.","His Excellency Javlon Vahhabor, Ambassador of the Republic of Uzbekistan to the United States",Non-acceptance would cause embarrassment to donor and U.S. Government.
30,2020,"The Honorable Sam Brownback, Ambassador-at-Large for International Religious Freedom",Brass Tea Set. Rec'd—1/7/2019. Est. Value—$620.00 Disposition—Transferred to GSA.,Embassy of the Republic of Uzbekistan,Non-acceptance would cause embarrassment to donor and U.S. Government.
31,2020,"Ms. Ericka Woodard, Spouse of the Chargé d'Affaires, U.S. Embassy Brunei Darussalam","Dolce and Gabbana Handbag. Rec'd—10/8/2018. Est. Value—$1,770.00. Disposition—Transferred to GSA.","Her Majesty the Duli Raja Isteri Pengiran Anak Hajah Saleha, Queen of Brunei Darussalam",Non-acceptance would cause embarrassment to donor and U.S. Government.
32,2020,"Ms. Gladys Boluda, Assistant Chief of Protocol for Diplomatic Affairs",White Decorative Box. Rec'd—5/13/2019. Est. Value—$485.00. Disposition—Transferred to GSA.,"His Royal Highness Salman bin Hamad Al Khalifa, Crown Prince of the Kingdom of Bahrain",Non-acceptance would cause embarrassment to donor and U.S. Government.
33,2020,Unknown,Montblanc Pen and Portfolio Set. Rec'd—Unknown. Est. Value—$500.00. Disposition—Transferred to GSA.,"
                            Unknown 
                            9
",Non-acceptance would cause embarrassment to donor and U.S. Government.
34,2020,Unknown,"Large Carpet. Rec'd—Unknown. Est. Value—$8,700.00. Disposition—Transferred to GSA.","
                            Unknown 
                            10
",Non-acceptance would cause embarrassment to donor and U.S. Government.
35,2020,Unknown,"Round Silver Plate. Rec'd—Unknown. Est. Value—$1,120.00. Disposition—Transferred to GSA.","
                            Unknown 
                            11
",Non-acceptance would cause embarrassment to donor and U.S. Government.
36,2020,Unknown,"Golf Putter. Rec'd—Unknown. Est. Value—$1,660.00. Disposition—Transferred to GSA.","
                            Unknown 
                            12
",Non-acceptance would cause embarrassment
37,2020,Unknown,"Painting of Man Playing Flute. Rec'd—2019 Unknown. Est. Value—$1,100.00 Disposition—Transferred to GSA.","
                            Unknown 
                            13
",Non-acceptance would cause embarrassment to donor and U.S. Government.
